Timestamp,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12,Question13,Question14,Question15
11/22/2023 6:56:16,Yes,Agree,Strongly agree,Strongly disagree,Strongly Agree,Positive Correlation,Time constraints,"Yes, significantly",Critical Factor,Essential for improvement,Significant Contribution,One-on-one sessions are more effective,Friends tutoring each other,Positive Correlation,It is really accessible and helpful to me
11/22/2023 7:02:20,Yes,Agree,Strongly agree,Neutral,Strongly Agree,Positive Correlation,Time constraints,"Yes, significantly",Critical Factor,Essential for improvement,Significant Contribution,Both one-on-one and group sessions are equally effective,Friends tutoring each other,Positive Correlation,It is really accessible and helpful to me
11/22/2023 7:02:36,Yes,Agree,Agree,Agree,Agree,Positive Correlation,Time constraints,"Yes, moderately",Critical Factor,Essential for improvement,Significant Contribution,Group sessions are more effective,Friends tutoring each other,Positive Correlation,It is really accessible and helpful to me
11/22/2023 7:06:37,Yes,Agree,Agree,Agree,Agree,Positive Correlation,Communication barriers,"Yes, moderately",Moderately important,Essential for improvement,Moderate Contribution,One-on-one sessions are more effective,Randomly paired tutors and tutees,Positive Correlation,It is really accessible and helpful to me
11/22/2023 7:51:11,Yes,Agree,Strongly agree,Strongly disagree,Strongly Agree,Positive Correlation,Communication barriers,"Yes, significantly",Moderately important,Essential for improvement,Significant Contribution,Group sessions are more effective,Friends tutoring each other,Positive Correlation,It is really accessible and helpful to me
11/22/2023 9:50:46,Yes,Agree,Agree,Strongly agree,Agree,Positive Correlation,Mismatched learning styles,"Yes, significantly",Moderately important,Moderately important,Moderate Contribution,Group sessions are more effective,Friends tutoring each other,Positive Correlation,It is really accessible and helpful to me
11/23/2023 0:13:12,Yes,Agree,Neutral,Neutral,Neutral,No Correlation with duration,Time constraints,"Yes, moderately",Moderately important,No impact,Moderate Contribution,Both one-on-one and group sessions are equally effective,Randomly paired tutors and tutees,Negative Correlation,It is really accessible and helpful to me
11/23/2023 0:49:46,Yes,Agree,Neutral,Agree,Agree,Positive Correlation,Mismatched learning styles,No noticeable change,Moderately important,Moderately important,Moderate Contribution,Group sessions are more effective,Friends tutoring each other,Positive Correlation,"It has its pros and cons, offering mixed effectiveness"
11/23/2023 1:12:38,Yes,Agree,Strongly agree,Strongly agree,Strongly Agree,Positive Correlation,Time constraints,"Yes, significantly",Critical Factor,Essential for improvement,Significant Contribution,One-on-one sessions are more effective,Friends tutoring each other,Positive Correlation,"It has its pros and cons, offering mixed effectiveness"
11/23/2023 1:13:25,Yes,Agree,Agree,Strongly disagree,Agree,Positive Correlation,Lack of preparation,"Yes, significantly",Moderately important,Essential for improvement,Significant Contribution,Group sessions are more effective,Friends tutoring each other,Positive Correlation,It is really accessible and helpful to me
11/23/2023 1:14:10,Yes,Agree,Agree,Strongly disagree,Strongly Agree,Positive Correlation,Time constraints,"Yes, moderately",Critical Factor,Essential for improvement,Significant Contribution,One-on-one sessions are more effective,Friends tutoring each other,Positive Correlation,"It has its pros and cons, offering mixed effectiveness"
11/23/2023 1:15:19,Yes,Agree,Agree,Neutral,Agree,Positive Correlation,Mismatched learning styles,"Yes, moderately",Moderately important,Essential for improvement,Moderate Contribution,Both one-on-one and group sessions are equally effective,Friends tutoring each other,Positive Correlation,"It has its pros and cons, offering mixed effectiveness"
11/23/2023 1:15:33,Yes,Moderately Agree,Agree,Strongly agree,Agree,No Correlation with duration,Communication barriers,"Yes, moderately",Moderately important,Essential for improvement,Significant Contribution,Both one-on-one and group sessions are equally effective,Friends tutoring each other,Positive Correlation,It is really accessible and helpful to me
11/23/2023 1:15:56,Yes,Agree,Agree,Strongly agree,Agree,Positive Correlation,Time constraints,"Yes, moderately",Critical Factor,Essential for improvement,No effect,One-on-one sessions are more effective,Doesn't matter,Positive Correlation,It is really accessible and helpful to me
11/23/2023 1:17:54,Yes,Agree,Neutral,Agree,Strongly Agree,Positive Correlation,Time constraints,No noticeable change,Moderately important,Moderately important,Significant Contribution,Both one-on-one and group sessions are equally effective,Friends tutoring each other,Positive Correlation,It is really accessible and helpful to me
11/23/2023 1:21:04,Yes,Moderately Agree,Agree,Agree,Agree,Positive Correlation,Time constraints,"Yes, moderately",Critical Factor,Essential for improvement,Moderate Contribution,Group sessions are more effective,Friends tutoring each other,Positive Correlation,It is really accessible and helpful to me
11/23/2023 1:22:29,Yes,Agree,Strongly agree,Strongly agree,Strongly Agree,Positive Correlation,Time constraints,"Yes, significantly",Critical Factor,Essential for improvement,Significant Contribution,Both one-on-one and group sessions are equally effective,Friends tutoring each other,Positive Correlation,It is really accessible and helpful to me
11/23/2023 1:22:52,Yes,Agree,Agree,Agree,Agree,Positive Correlation,Mismatched learning styles,"Yes, significantly",Moderately important,Essential for improvement,Significant Contribution,Both one-on-one and group sessions are equally effective,Friends tutoring each other,Positive Correlation,It is really accessible and helpful to me
11/23/2023 1:23:07,Yes,Agree,Strongly agree,Strongly agree,Agree,No Correlation with duration,Time constraints,"Yes, moderately",Moderately important,Essential for improvement,Significant Contribution,One-on-one sessions are more effective,Friends tutoring each other,Positive Correlation,"It has its pros and cons, offering mixed effectiveness"
11/23/2023 1:23:31,Yes,Agree,Agree,Agree,Agree,Positive Correlation,Time constraints,"Yes, moderately",Moderately important,Moderately important,Moderate Contribution,Group sessions are more effective,Friends tutoring each other,Positive Correlation,It is really accessible and helpful to me
11/23/2023 1:23:58,Yes,Agree,Agree,Agree,Agree,Positive Correlation,Time constraints,"Yes, moderately",Critical Factor,Moderately important,Moderate Contribution,One-on-one sessions are more effective,Friends tutoring each other,Positive Correlation,It is really accessible and helpful to me
11/23/2023 1:25:10,Yes,Disagree,Strongly agree,Strongly agree,Strongly Agree,No Correlation with duration,Communication barriers,"Yes, moderately",Moderately important,Moderately important,Significant Contribution,One-on-one sessions are more effective,Doesn't matter,Positive Correlation,"It has its pros and cons, offering mixed effectiveness"
11/23/2023 1:27:46,Yes,Moderately Agree,Neutral,Neutral,Neutral,No Correlation with duration,Communication barriers,"Yes, moderately",Critical Factor,Essential for improvement,Significant Contribution,One-on-one sessions are more effective,Friends tutoring each other,Positive Correlation,"It has its pros and cons, offering mixed effectiveness"
11/23/2023 1:33:05,Yes,Agree,Strongly agree,Strongly agree,Strongly Agree,Positive Correlation,Time constraints,"Yes, moderately",Moderately important,Moderately important,Moderate Contribution,One-on-one sessions are more effective,Friends tutoring each other,Positive Correlation,It is really accessible and helpful to me
11/23/2023 1:35:48,Yes,Agree,Strongly agree,Disagree,Strongly Agree,Positive Correlation,Lack of preparation,"Yes, moderately",Moderately important,Essential for improvement,No effect,Group sessions are more effective,Friends tutoring each other,Positive Correlation,"It has its pros and cons, offering mixed effectiveness"
11/23/2023 1:37:06,Yes,Moderately Agree,Neutral,Neutral,Neutral,No Correlation with duration,Mismatched learning styles,No noticeable change,Moderately important,Moderately important,Moderate Contribution,Group sessions are more effective,Randomly paired tutors and tutees,Negative Correlation,It is not effective to me at all
11/23/2023 1:39:03,Yes,Agree,Strongly agree,Agree,Agree,Positive Correlation,Mismatched learning styles,"Yes, moderately",Critical Factor,Essential for improvement,Moderate Contribution,One-on-one sessions are more effective,Friends tutoring each other,Positive Correlation,"It has its pros and cons, offering mixed effectiveness"
11/23/2023 1:43:04,Yes,Agree,Agree,Strongly disagree,Strongly Agree,Positive Correlation,Time constraints,"Yes, moderately",Critical Factor,Essential for improvement,Significant Contribution,Group sessions are more effective,Friends tutoring each other,Positive Correlation,It is really accessible and helpful to me
11/23/2023 1:43:44,Yes,Agree,Strongly agree,Strongly agree,Strongly Agree,Positive Correlation,Communication barriers,"Yes, significantly",Critical Factor,Essential for improvement,Significant Contribution,One-on-one sessions are more effective,Randomly paired tutors and tutees,No significant impact,It is really accessible and helpful to me
11/23/2023 1:46:17,Yes,Agree,Strongly agree,Strongly agree,Strongly Agree,Positive Correlation,Communication barriers,"Yes, significantly",Critical Factor,Essential for improvement,Significant Contribution,One-on-one sessions are more effective,Randomly paired tutors and tutees,No significant impact,It is really accessible and helpful to me
11/23/2023 1:46:32,Yes,Agree,Agree,Agree,Strongly Agree,Positive Correlation,Lack of preparation,"Yes, moderately",Moderately important,Essential for improvement,Significant Contribution,Group sessions are more effective,Randomly paired tutors and tutees,Positive Correlation,It is really accessible and helpful to me
11/23/2023 1:48:54,Yes,Agree,Agree,Agree,Strongly Agree,Positive Correlation,Mismatched learning styles,"Yes, significantly",Moderately important,Moderately important,Moderate Contribution,One-on-one sessions are more effective,Friends tutoring each other,Positive Correlation,It is really accessible and helpful to me
11/23/2023 1:51:17,Yes,Agree,Strongly agree,Strongly agree,Strongly Agree,Positive Correlation,Mismatched learning styles,"Yes, significantly",Critical Factor,Essential for improvement,Significant Contribution,Both one-on-one and group sessions are equally effective,Randomly paired tutors and tutees,Positive Correlation,It is really accessible and helpful to me
